date,grid_id,latitude,longitude,coarse_rain_forecast_mm,temperature_c,humidity_pct,wind_speed_ms,soil_moisture,satellite_rain_mm,elevation_m,rainfall_target_mm,rain_event
2026-06-01,G0019,25.50405,86.69006,7.66,27.14,75.89,3.81,0.386,12.69,50.39,9.7,1
2026-06-01,G0020,25.50405,86.73008,5.63,29.64,80.32,2.66,0.398,12.83,47.67,11.7,1
2026-06-01,G0021,25.50405,86.7701,15.2,29.37,88.63,3.79,0.341,12.56,47.72,16.57,1
2026-06-01,G0022,25.50405,86.81011,10.58,30.46,75.3,1.43,0.365,11.05,47.95,7.8,1
2026-06-01,G0023,25.50405,86.85013,13.59,27.83,80.45,3.26,0.293,10.24,48.4,9.95,1
2026-06-01,G0024,25.50405,86.89015,7.12,29.61,74.97,3.98,0.393,8.99,46.07,8.78,1
2026-06-01,G0025,25.50405,86.93017,10.11,26.79,81.34,3.13,0.349,15.51,51.3,12.17,1
2026-06-01,G0026,25.50405,86.97018,19.07,29.44,75.41,2.67,0.355,4.79,46.93,8.91,1
2026-06-01,G0027,25.50405,87.0102,1.68,28.82,86.58,2.29,0.364,15.21,53.82,7.53,1
2026-06-01,G0028,25.50405,87.05022,4.12,29.59,81.33,5.05,0.342,6.04,44.29,4.18,1
2026-06-01,G0029,25.50405,87.09024,15.06,26.67,77.69,5.18,0.438,11.28,48.62,11.96,1
2026-06-01,G0030,25.50405,87.13012,5.14,29.08,80.38,4.2,0.334,7.12,45.19,3.95,1
2026-06-01,G0031,25.54009,86.57001,5.48,26.19,76.2,4.04,0.414,11.62,49.3,11.74,1
2026-06-01,G0032,25.54009,86.61003,8.51,28.16,85.5,4.69,0.372,7.12,55.82,7.26,1
2026-06-01,G0033,25.54009,86.65004,12.58,28.7,89.44,5.31,0.297,12.01,48.36,12.45,1
2026-06-01,G0034,25.54009,86.69006,13.24,26.26,68.33,3.41,0.349,5.54,49.85,4.66,1
2026-06-01,G0035,25.54009,86.73008,5.21,29.36,79.71,4.69,0.384,2.43,48.78,7.78,1
2026-06-01,G0036,25.54009,86.7701,9.56,28.34,74.94,0.9,0.359,7.0,49.66,6.04,1
2026-06-01,G0037,25.54009,86.81011,7.25,31.03,78.05,2.89,0.329,9.99,49.02,4.5,1
2026-06-01,G0038,25.54009,86.85013,9.6,31.18,82.58,4.74,0.324,7.58,50.5,4.32,1
2026-06-01,G0039,25.54009,86.89015,11.35,28.05,87.86,4.18,0.277,8.1,50.26,7.41,1
2026-06-01,G0040,25.54009,86.93017,10.11,29.44,67.67,2.11,0.384,7.84,51.76,13.16,1
2026-06-01,G0041,25.54009,86.97018,17.32,29.89,68.28,5.44,0.363,0,46.88,10.98,1
2026-06-01,G0042,25.54009,87.0102,12.68,29.32,74.21,3.63,0.334,0,51.9,0,0
2026-06-01,G0043,25.54009,87.05022,11.37,27.98,78.92,3.74,0.325,15.01,50.45,12.41,1
2026-06-01,G0044,25.54009,87.09024,6.33,29.92,77.03,2.74,0.321,15.99,51.62,10.88,1
2026-06-01,G0045,25.54009,87.13012,11.94,29.71,77.28,4.42,0.345,9.28,50.82,11.07,1
2026-06-01,G0046,25.57613,86.57001,9.64,27.79,74.16,2.32,0.387,4.97,50.73,10.73,1
2026-06-01,G0047,25.57613,86.61003,19.22,27.06,75.96,3.41,0.293,9.56,50.32,11.8,1
2026-06-01,G0048,25.57613,86.65004,8.27,28.0,86.8,3.31,0.32,7.07,50.08,10.15,1
2026-06-01,G0049,25.57613,86.69006,7.36,29.79,81.61,5.18,0.331,12.23,53.09,7.32,1
2026-06-01,G0050,25.57613,86.73008,8.52,29.9,77.87,2.07,0.375,14.68,49.56,8.45,1
2026-06-01,G0051,25.57613,86.7701,7.51,26.37,79.67,3.71,0.329,10.0,52.9,10.26,1
2026-06-01,G0052,25.57613,86.81011,7.68,29.75,70.28,3.1,0.328,5.19,50.96,6.08,1
2026-06-01,G0053,25.57613,86.85013,10.25,29.19,76.29,2.05,0.382,11.25,51.88,14.06,1
2026-06-01,G0054,25.57613,86.89015,7.11,28.84,77.42,3.51,0.284,5.9,52.47,7.91,1
2026-06-01,G0055,25.57613,86.93017,14.63,28.53,77.68,3.51,0.43,14.34,47.36,14.05,1
2026-06-01,G0056,25.57613,86.97018,4.22,26.49,70.95,4.78,0.318,0,50.37,0,0
2026-06-01,G0057,25.57613,87.0102,12.55,30.5,72.9,2.58,0.358,1.68,50.87,9.14,1
2026-06-01,G0058,25.57613,87.05022,10.58,28.24,75.0,4.37,0.368,2.29,50.58,7.41,1
2026-06-01,G0059,25.57613,87.09024,7.99,29.13,85.5,3.38,0.339,7.77,48.73,9.62,1
2026-06-01,G0060,25.57613,87.13012,7.75,26.63,83.08,1.9,0.322,10.76,52.94,5.03,1
2026-06-01,G0061,25.61216,86.57001,9.79,27.66,84.58,5.3,0.274,8.0,49.59,10.47,1
2026-06-01,G0062,25.61216,86.61003,4.89,29.02,81.32,3.23,0.357,7.2,50.93,10.2,1
2026-06-01,G0063,25.61216,86.65004,8.12,28.25,78.39,3.3,0.346,10.79,50.46,11.37,1
2026-06-01,G0064,25.61216,86.69006,15.76,29.74,82.05,4.61,0.365,10.56,52.91,13.52,1
2026-06-01,G0065,25.61216,86.73008,10.38,28.89,68.42,3.49,0.369,5.29,54.96,6.59,1
2026-06-01,G0066,25.61216,86.7701,13.82,27.63,70.81,2.34,0.298,8.3,53.75,8.07,1
2026-06-01,G0067,25.61216,86.81011,12.38,30.11,83.16,2.73,0.342,7.45,51.42,3.53,1
2026-06-01,G0068,25.61216,86.85013,12.8,28.85,75.4,4.81,0.259,10.75,52.84,10.37,1
2026-06-01,G0069,25.61216,86.89015,7.82,30.02,76.56,3.4,0.337,10.65,51.46,4.82,1
2026-06-01,G0070,25.61216,86.93017,15.62,29.82,72.39,6.0,0.432,8.75,52.86,6.84,1
2026-06-01,G0071,25.61216,86.97018,6.64,27.76,77.69,4.81,0.292,6.41,56.5,10.83,1
2026-06-01,G0072,25.61216,87.0102,5.15,28.52,72.71,3.18,0.25,0,52.03,7.41,1
2026-06-01,G0073,25.61216,87.05022,5.64,27.07,81.05,3.23,0.43,5.32,52.9,4.41,1
2026-06-01,G0074,25.61216,87.09024,12.3,27.25,79.37,3.29,0.359,5.58,53.24,5.67,1
2026-06-01,G0075,25.61216,87.13012,11.79,27.53,86.55,3.21,0.322,15.62,57.34,13.33,1
2026-06-01,G0076,25.6482,86.57001,15.58,26.79,78.47,2.87,0.299,10.27,50.6,10.83,1
2026-06-01,G0077,25.6482,86.61003,12.46,28.44,73.87,2.32,0.331,9.62,52.08,8.62,1
2026-06-01,G0078,25.6482,86.65004,10.01,28.53,74.06,3.49,0.373,5.15,54.5,7.61,1
2026-06-01,G0079,25.6482,86.69006,3.5,29.14,81.07,1.58,0.359,7.38,56.56,5.53,1
2026-06-01,G0080,25.6482,86.73008,9.72,29.1,81.24,3.59,0.359,10.29,52.58,8.71,1
2026-06-01,G0081,25.6482,86.7701,15.12,28.6,75.4,4.44,0.319,6.79,55.97,5.57,1
2026-06-01,G0082,25.6482,86.81011,5.87,28.96,79.35,4.78,0.336,7.28,55.03,3.79,1
2026-06-01,G0083,25.6482,86.85013,15.14,29.45,78.8,2.56,0.34,7.83,55.15,9.06,1
2026-06-01,G0084,25.6482,86.89015,10.6,29.02,74.4,2.2,0.347,0,50.43,5.6,1
2026-06-01,G0085,25.6482,86.93017,13.51,27.61,73.14,3.32,0.256,3.72,54.51,8.15,1
2026-06-01,G0086,25.6482,86.97018,8.86,29.02,79.62,4.81,0.353,2.06,52.77,3.03,1
2026-06-01,G0087,25.6482,87.0102,10.83,28.42,72.6,2.46,0.269,10.91,54.81,5.34,1
2026-06-01,G0088,25.6482,87.05022,5.17,27.46,80.7,1.93,0.283,0,54.5,1.32,1
2026-06-01,G0089,25.6482,87.09024,11.83,28.8,71.37,3.35,0.373,9.87,52.98,4.82,1
2026-06-01,G0090,25.6482,87.13012,14.51,28.31,77.94,4.74,0.363,6.31,53.48,10.16,1
2026-06-01,G0091,25.68423,86.57001,18.69,29.56,72.25,8.0,0.305,11.96,55.07,9.88,1
2026-06-01,G0092,25.68423,86.61003,16.61,27.04,79.2,4.16,0.34,9.14,53.37,8.05,1
2026-06-01,G0093,25.68423,86.65004,8.36,28.13,81.54,2.36,0.283,8.23,54.33,11.75,1
2026-06-01,G0094,25.68423,86.69006,7.81,29.34,72.04,2.5,0.362,17.66,53.46,19.56,1
2026-06-01,G0095,25.68423,86.73008,6.14,30.5,77.32,2.3,0.342,10.61,56.54,10.97,1
2026-06-01,G0096,25.68423,86.7701,10.33,28.8,74.5,0.88,0.325,1.41,52.95,5.96,1
2026-06-01,G0097,25.68423,86.81011,17.88,28.06,75.53,4.33,0.395,13.3,54.97,12.29,1
2026-06-01,G0098,25.68423,86.85013,18.93,28.17,78.46,4.2,0.312,4.27,55.31,4.57,1
2026-06-01,G0099,25.68423,86.89015,8.99,29.64,77.4,2.38,0.34,11.3,57.91,7.75,1
2026-06-01,G0100,25.68423,86.93017,15.9,28.4,86.58,1.09,0.4,0,52.11,5.09,1
2026-06-01,G0101,25.68423,86.97018,9.41,24.97,68.27,2.82,0.354,6.74,54.02,6.01,1
2026-06-01,G0102,25.68423,87.0102,5.36,27.74,79.08,4.2,0.41,2.48,54.5,2.84,1
2026-06-01,G0103,25.68423,87.05022,10.29,28.69,70.05,3.95,0.316,3.94,53.9,0.63,0
2026-06-01,G0104,25.68423,87.09024,14.75,30.13,79.22,1.46,0.309,5.75,57.33,5.57,1
2026-06-01,G0105,25.68423,87.13012,5.74,28.54,72.8,3.11,0.334,6.66,50.63,7.39,1
2026-06-01,G0106,25.72027,86.57001,6.86,27.32,69.96,4.93,0.289,11.21,56.2,10.3,1
2026-06-01,G0107,25.72027,86.61003,8.78,28.92,76.89,5.04,0.376,0.42,63.55,0,0
2026-06-01,G0108,25.72027,86.65004,10.02,30.08,81.97,4.4,0.322,3.46,55.98,0,0
2026-06-01,G0109,25.72027,86.69006,16.94,28.38,82.53,4.4,0.392,9.91,54.23,8.76,1
2026-06-01,G0110,25.72027,86.73008,10.89,29.85,72.82,3.65,0.441,8.89,58.86,11.09,1
2026-06-01,G0111,25.72027,86.7701,10.03,30.86,78.4,4.97,0.318,9.67,58.65,11.53,1
2026-06-01,G0112,25.72027,86.81011,7.1,27.89,73.84,3.5,0.43,9.84,58.09,10.89,1
2026-06-01,G0113,25.72027,86.85013,7.18,27.29,75.01,4.5,0.351,4.6,60.38,4.6,1
2026-06-01,G0114,25.72027,86.89015,9.31,27.92,70.26,5.06,0.369,8.48,53.14,7.83,1
2026-06-01,G0115,25.72027,86.93017,8.49,27.82,74.96,2.41,0.311,9.9,56.07,4.11,1
2026-06-01,G0116,25.72027,86.97018,5.98,26.9,70.06,2.87,0.325,0,55.02,3.59,1
2026-06-01,G0117,25.72027,87.0102,9.91,28.14,85.83,3.79,0.372,1.94,52.3,2.92,1
2026-06-01,G0118,25.72027,87.05022,1.42,29.15,74.49,4.12,0.312,3.0,58.63,0,0
2026-06-01,G0119,25.72027,87.09024,9.06,29.34,77.23,5.83,0.336,7.57,56.57,0,0
2026-06-01,G0120,25.72027,87.13012,17.18,27.29,84.47,4.98,0.357,5.49,54.6,9.83,1
2026-06-01,G0121,25.75631,86.57001,7.62,29.9,67.2,4.18,0.371,1.12,63.24,4.08,1
2026-06-01,G0122,25.75631,86.61003,1.87,28.72,79.64,4.68,0.274,3.52,58.48,6.32,1
2026-06-01,G0123,25.75631,86.65004,16.28,28.18,83.35,5.55,0.401,14.99,60.58,16.05,1
2026-06-01,G0124,25.75631,86.69006,6.94,29.82,76.13,3.47,0.33,1.91,58.35,4.39,1
2026-06-01,G0125,25.75631,86.73008,6.02,28.94,77.48,2.61,0.384,7.56,62.88,4.87,1
2026-06-01,G0126,25.75631,86.7701,15.04,25.46,74.06,2.74,0.384,9.97,59.51,11.54,1
2026-06-01,G0127,25.75631,86.81011,12.65,27.75,71.75,3.3,0.348,1.67,59.48,2.65,1
2026-06-01,G0128,25.75631,86.85013,13.73,30.5,81.42,3.72,0.38,7.77,60.36,6.91,1
2026-06-01,G0129,25.75631,86.89015,15.26,31.02,78.04,3.89,0.369,10.07,59.13,12.23,1
2026-06-01,G0130,25.75631,86.93017,9.62,30.75,78.69,3.58,0.388,1.97,59.44,5.42,1
2026-06-01,G0131,25.75631,86.97018,9.85,28.61,72.18,3.75,0.305,0,60.97,5.44,1
2026-06-01,G0132,25.75631,87.0102,11.22,29.14,68.04,2.18,0.347,3.09,59.83,4.87,1
2026-06-01,G0133,25.75631,87.05022,6.08,28.1,72.52,3.9,0.344,5.05,61.53,7.07,1
2026-06-01,G0134,25.75631,87.09024,13.04,27.63,73.18,1.73,0.468,7.0,56.98,7.38,1
2026-06-01,G0135,25.75631,87.13012,8.66,27.94,68.52,2.3,0.297,5.66,58.88,3.8,1
2026-06-01,G0136,25.79234,86.57001,7.35,27.89,82.52,3.04,0.362,6.74,58.15,8.71,1
2026-06-01,G0137,25.79234,86.61003,8.48,28.99,77.0,3.76,0.337,8.57,63.49,10.59,1
2026-06-01,G0138,25.79234,86.65004,12.03,27.27,74.54,3.21,0.371,2.9,59.01,9.01,1
2026-06-01,G0139,25.79234,86.69006,10.12,28.02,64.94,2.6,0.331,0,59.58,2.02,1
2026-06-01,G0140,25.79234,86.73008,8.53,30.39,83.94,2.13,0.403,4.99,57.56,3.71,1
2026-06-01,G0141,25.79234,86.7701,16.2,29.28,71.59,3.33,0.346,0,64.19,2.36,1
2026-06-01,G0142,25.79234,86.81011,9.83,28.29,73.75,3.43,0.356,7.84,62.57,4.78,1
2026-06-01,G0143,25.79234,86.85013,8.31,28.39,76.94,3.48,0.325,5.47,59.2,7.34,1
2026-06-01,G0144,25.79234,86.89015,5.72,28.85,71.48,3.84,0.359,7.93,62.32,10.01,1
2026-06-01,G0145,25.79234,86.93017,8.64,27.86,72.96,2.6,0.364,0,60.83,1.49,1
2026-06-01,G0146,25.79234,86.97018,7.15,27.99,72.66,3.32,0.342,4.31,58.66,7.42,1
2026-06-01,G0147,25.79234,87.0102,13.49,28.75,80.5,3.46,0.388,3.73,64.11,6.79,1
2026-06-01,G0148,25.79234,87.05022,11.86,28.18,72.22,4.59,0.29,8.09,64.38,10.75,1
2026-06-01,G0149,25.79234,87.09024,10.85,30.69,73.13,2.11,0.329,5.99,60.28,3.77,1
2026-06-01,G0150,25.79234,87.13012,10.72,27.61,85.88,1.83,0.302,7.4,61.55,7.4,1
2026-06-01,G0151,25.82838,86.57001,11.77,27.3,74.63,2.68,0.374,3.72,61.5,8.16,1
2026-06-01,G0152,25.82838,86.61003,12.46,29.62,81.78,4.42,0.332,11.42,61.94,5.04,1
2026-06-01,G0153,25.82838,86.65004,11.27,29.02,80.5,1.88,0.312,5.24,61.76,5.22,1
2026-06-01,G0154,25.82838,86.69006,10.77,28.59,69.42,0.91,0.381,3.47,59.85,3.6,1
2026-06-01,G0155,25.82838,86.73008,4.43,28.06,75.81,4.68,0.371,2.05,61.94,5.44,1
2026-06-01,G0156,25.82838,86.7701,14.57,28.05,82.96,5.62,0.379,8.45,66.0,12.29,1
2026-06-01,G0157,25.82838,86.81011,13.5,27.2,77.61,1.5,0.329,1.29,64.2,3.06,1
2026-06-01,G0158,25.82838,86.85013,12.24,27.94,82.98,3.75,0.364,0,65.87,8.16,1
2026-06-01,G0159,25.82838,86.89015,6.6,27.8,77.77,3.52,0.396,8.86,60.21,8.9,1
2026-06-01,G0160,25.82838,86.93017,12.2,28.28,82.88,2.65,0.399,6.38,63.17,3.59,1
2026-06-01,G0161,25.82838,86.97018,11.73,28.11,74.18,3.21,0.295,3.96,65.85,2.53,1
2026-06-01,G0162,25.82838,87.0102,7.46,29.24,81.46,5.32,0.34,8.46,60.37,10.18,1
2026-06-01,G0163,25.82838,87.05022,13.29,27.02,84.06,4.19,0.298,3.61,64.02,2.18,1
2026-06-01,G0164,25.82838,87.09024,8.17,27.77,73.7,2.76,0.382,1.61,63.05,5.67,1
2026-06-01,G0165,25.82838,87.13012,14.47,28.63,80.55,5.55,0.389,5.68,65.23,10.93,1
2026-06-01,G0166,25.86441,86.57001,14.33,29.54,78.93,3.57,0.332,0,63.28,5.85,1
2026-06-01,G0167,25.86441,86.61003,13.46,28.74,75.06,2.36,0.368,1.79,63.47,3.27,1
2026-06-01,G0168,25.86441,86.65004,7.03,28.47,72.4,2.49,0.345,9.59,64.94,4.65,1
2026-06-01,G0169,25.86441,86.69006,12.06,31.75,73.16,2.55,0.361,5.32,62.32,9.24,1
2026-06-01,G0170,25.86441,86.73008,17.31,28.69,75.27,3.5,0.41,6.66,65.92,6.21,1
2026-06-01,G0171,25.86441,86.7701,16.29,29.07,74.57,3.58,0.321,11.98,65.06,10.55,1
2026-06-01,G0172,25.86441,86.81011,1.16,28.71,83.25,3.34,0.36,9.89,66.36,8.11,1
2026-06-01,G0173,25.86441,86.85013,11.26,28.28,78.71,5.58,0.321,17.88,62.04,9.36,1
2026-06-01,G0174,25.86441,86.89015,12.24,29.37,71.09,4.71,0.401,6.61,63.93,7.56,1
2026-06-01,G0175,25.86441,86.93017,12.81,29.25,72.43,3.29,0.304,5.13,65.39,8.35,1
2026-06-01,G0176,25.86441,86.97018,9.71,26.61,82.15,2.94,0.358,4.95,66.36,4.05,1
2026-06-01,G0177,25.86441,87.0102,14.89,28.52,80.64,2.0,0.377,4.9,64.25,10.66,1
2026-06-01,G0178,25.86441,87.05022,9.24,28.93,77.57,2.09,0.345,3.98,66.66,5.2,1
2026-06-01,G0179,25.86441,87.09024,6.62,26.26,67.26,3.5,0.36,9.49,64.57,4.77,1
2026-06-01,G0180,25.86441,87.13012,9.5,28.75,69.79,3.32,0.363,2.1,60.61,2.65,1
2026-06-01,G0181,25.90045,86.57001,13.26,26.62,79.56,2.02,0.299,13.58,68.98,13.81,1
2026-06-01,G0182,25.90045,86.61003,6.89,29.2,78.77,6.2,0.377,9.32,59.8,7.03,1
2026-06-01,G0183,25.90045,86.65004,7.16,28.44,74.61,2.2,0.407,8.31,66.98,5.26,1
2026-06-01,G0184,25.90045,86.69006,12.82,29.95,72.59,4.44,0.328,11.98,68.1,9.98,1
2026-06-01,G0185,25.90045,86.73008,1.02,26.29,76.78,3.43,0.337,9.01,62.82,2.8,1
2026-06-01,G0186,25.90045,86.7701,6.72,29.97,81.41,2.93,0.404,7.0,63.05,8.77,1
2026-06-01,G0187,25.90045,86.81011,9.4,29.19,74.46,4.46,0.352,7.79,70.61,6.58,1
2026-06-01,G0188,25.90045,86.85013,15.18,27.02,84.67,2.23,0.263,8.27,67.5,12.75,1
2026-06-01,G0189,25.90045,86.89015,10.31,30.33,81.42,2.71,0.382,3.73,63.3,4.12,1
2026-06-01,G0190,25.90045,86.93017,5.9,27.01,83.97,2.18,0.331,0,63.47,5.3,1
2026-06-01,G0191,25.90045,86.97018,10.11,28.3,72.01,2.33,0.386,6.39,65.68,9.15,1
2026-06-01,G0192,25.90045,87.0102,0,27.83,88.73,2.89,0.354,9.51,67.11,4.04,1
2026-06-01,G0193,25.90045,87.05022,13.59,29.97,81.83,4.09,0.324,3.52,65.37,7.37,1
2026-06-01,G0194,25.90045,87.09024,1.97,29.55,71.52,5.03,0.328,5.08,66.44,0.57,0
2026-06-01,G0195,25.90045,87.13012,12.04,29.79,84.63,5.0,0.361,10.21,63.34,13.87,1
2026-06-01,G0196,25.93649,86.57001,4.89,29.26,80.08,5.41,0.353,6.35,64.07,4.97,1
2026-06-01,G0197,25.93649,86.61003,10.8,30.07,76.62,1.78,0.371,7.76,65.16,13.03,1
2026-06-01,G0198,25.93649,86.65004,11.18,29.67,89.71,1.1,0.389,4.23,68.42,7.15,1
2026-06-01,G0199,25.93649,86.69006,11.48,27.54,84.92,1.88,0.431,11.96,70.51,7.23,1
2026-06-01,G0200,25.93649,86.73008,10.08,27.78,77.05,3.02,0.399,15.27,66.24,11.89,1
2026-06-01,G0201,25.93649,86.7701,12.26,27.33,71.15,1.68,0.306,7.88,64.01,5.91,1
2026-06-01,G0202,25.93649,86.81011,11.3,27.38,72.77,2.31,0.297,7.78,64.98,10.0,1
2026-06-01,G0203,25.93649,86.85013,4.48,27.63,90.0,1.34,0.36,6.47,66.79,3.85,1
2026-06-01,G0204,25.93649,86.89015,11.36,27.09,79.99,3.97,0.405,6.11,66.23,11.74,1
2026-06-01,G0205,25.93649,86.93017,9.32,29.0,77.45,2.44,0.39,0,66.51,6.39,1
2026-06-01,G0206,25.93649,86.97018,9.77,29.19,80.23,2.26,0.39,8.15,67.5,14.05,1
2026-06-01,G0207,25.93649,87.0102,12.02,27.46,75.83,3.62,0.306,8.79,65.11,8.39,1
2026-06-01,G0208,25.93649,87.05022,9.79,29.71,75.86,4.32,0.347,7.63,67.07,8.33,1
2026-06-01,G0209,25.93649,87.09024,1.83,27.61,73.21,1.24,0.335,8.27,63.7,8.41,1
2026-06-01,G0210,25.93649,87.13012,9.15,27.57,81.64,2.79,0.342,2.35,66.71,4.33,1
2026-06-01,G0211,25.97252,86.57001,3.3,27.65,92.63,3.24,0.335,8.6,71.09,6.66,1
2026-06-01,G0212,25.97252,86.61003,11.12,30.19,74.72,3.95,0.398,6.34,68.51,7.17,1
2026-06-01,G0213,25.97252,86.65004,12.45,27.01,78.77,2.37,0.323,13.25,67.82,15.06,1
2026-06-01,G0214,25.97252,86.69006,16.49,28.25,73.66,2.34,0.417,21.09,66.04,15.65,1
2026-06-01,G0215,25.97252,86.73008,7.84,27.1,83.37,5.08,0.346,17.26,70.05,8.05,1
2026-06-01,G0216,25.97252,86.7701,9.75,25.22,79.94,3.93,0.285,8.53,66.29,5.91,1
2026-06-01,G0217,25.97252,86.81011,7.99,27.17,72.82,3.87,0.334,7.01,68.9,5.94,1
2026-06-01,G0218,25.97252,86.85013,11.93,29.35,78.38,4.57,0.403,6.46,66.2,10.36,1
2026-06-01,G0219,25.97252,86.89015,17.23,28.28,76.08,4.03,0.374,2.28,67.78,10.44,1
2026-06-01,G0220,25.97252,86.93017,6.68,29.55,87.63,2.88,0.384,5.16,69.56,1.17,1
2026-06-01,G0221,25.97252,86.97018,6.28,27.72,75.78,3.53,0.404,1.0,69.96,11.04,1
2026-06-01,G0222,25.97252,87.0102,9.13,28.82,85.4,3.05,0.387,9.62,72.37,6.74,1
2026-06-01,G0223,25.97252,87.05022,9.8,27.8,73.49,5.7,0.344,9.51,72.58,6.97,1
2026-06-01,G0224,25.97252,87.09024,9.27,28.07,73.37,2.64,0.364,11.87,67.78,9.94,1
2026-06-01,G0225,25.97252,87.13012,1.07,28.1,75.3,2.31,0.317,7.52,69.26,9.73,1
2026-06-01,G0226,26.00856,86.57001,4.51,29.44,79.53,3.39,0.335,8.23,70.81,6.4,1
2026-06-01,G0227,26.00856,86.61003,1.36,25.93,84.32,4.49,0.321,7.53,72.39,13.05,1
2026-06-01,G0228,26.00856,86.65004,7.61,28.7,76.68,2.17,0.331,16.27,69.99,4.83,1
2026-06-01,G0229,26.00856,86.69006,12.23,28.82,75.77,7.1,0.286,9.94,68.91,11.5,1
2026-06-01,G0230,26.00856,86.73008,19.54,30.46,73.28,5.05,0.356,6.85,75.24,14.81,1
2026-06-01,G0231,26.00856,86.7701,7.51,26.92,76.29,5.67,0.323,21.68,69.5,15.11,1
2026-06-01,G0232,26.00856,86.81011,11.91,27.37,78.85,4.26,0.413,10.34,71.44,5.99,1
2026-06-01,G0233,26.00856,86.85013,10.22,29.85,69.49,4.17,0.31,5.15,73.32,8.33,1
2026-06-01,G0234,26.00856,86.89015,10.98,27.86,81.24,3.44,0.382,8.74,70.9,1.26,1
2026-06-01,G0235,26.00856,86.93017,8.05,30.01,78.39,3.35,0.339,12.34,72.04,11.54,1
2026-06-01,G0236,26.00856,86.97018,6.19,29.74,73.09,3.28,0.371,9.02,72.23,6.07,1
2026-06-01,G0237,26.00856,87.0102,7.99,28.73,80.01,3.48,0.298,5.16,68.6,7.78,1
2026-06-01,G0238,26.00856,87.05022,5.22,27.83,74.85,3.53,0.42,8.95,71.36,6.27,1
2026-06-01,G0239,26.00856,87.09024,4.21,29.63,80.9,4.9,0.372,11.28,68.17,8.26,1
2026-06-01,G0240,26.00856,87.13012,12.2,27.67,77.55,3.94,0.404,13.19,72.79,13.27,1
2026-06-01,G0241,26.04459,86.57001,11.69,26.89,77.4,4.75,0.369,5.59,73.57,2.48,1
2026-06-01,G0242,26.04459,86.61003,4.26,28.17,71.29,4.56,0.363,15.22,78.35,13.93,1
2026-06-01,G0243,26.04459,86.65004,11.49,28.49,77.35,1.77,0.39,10.82,72.99,1.57,1
2026-06-01,G0244,26.04459,86.69006,7.56,29.39,77.64,5.28,0.289,8.26,70.29,10.57,1
2026-06-01,G0245,26.04459,86.73008,7.48,27.58,74.06,4.15,0.397,6.94,69.27,5.69,1
2026-06-01,G0246,26.04459,86.7701,10.16,29.21,78.46,2.8,0.308,10.62,68.79,8.25,1
2026-06-01,G0247,26.04459,86.81011,10.16,27.76,89.48,3.41,0.333,12.83,73.2,8.13,1
2026-06-01,G0248,26.04459,86.85013,10.94,29.02,78.2,3.75,0.359,0,69.9,1.05,1
2026-06-01,G0249,26.04459,86.89015,16.37,27.49,79.97,3.99,0.431,9.05,74.66,11.45,1
2026-06-01,G0250,26.04459,86.93017,8.31,28.09,73.51,2.04,0.318,13.76,71.71,12.73,1
2026-06-01,G0251,26.04459,86.97018,13.76,28.39,82.02,6.21,0.389,11.33,75.65,6.33,1
2026-06-01,G0252,26.04459,87.0102,7.14,25.0,78.23,5.17,0.331,4.37,72.83,2.62,1
